week_start,commits,active_repos,commits_4w_avg,commits_8w_avg,commits_per_repo,commits_per_repo_4w_avg,core,docs,governance,sdks,tooling,core_4w_avg,docs_4w_avg,governance_4w_avg,sdks_4w_avg,tooling_4w_avg
2025-01-12 00:00:00+00:00,299,22,299.0,299.0,13.590909090909092,13.590909090909092,119.0,30.0,14.0,68.0,68.0,119.0,30.0,14.0,68.0,68.0
2025-01-12 01:00:00+00:00,0,0,149.5,149.5,,13.590909090909092,0.0,0.0,0.0,0.0,0.0,59.5,15.0,7.0,34.0,34.0
2025-01-19 00:00:00+00:00,187,21,162.0,162.0,8.904761904761905,11.2478354978355,83.0,15.0,26.0,39.0,24.0,67.33333333333333,15.0,13.333333333333334,35.666666666666664,30.666666666666668
2025-01-19 01:00:00+00:00,0,0,121.5,121.5,,11.2478354978355,0.0,0.0,0.0,0.0,0.0,50.5,11.25,10.0,26.75,23.0
2025-01-26 00:00:00+00:00,249,23,109.0,147.0,10.826086956521738,9.865424430641822,107.0,21.0,14.0,57.0,50.0,47.5,9.0,10.0,24.0,18.5
2025-01-26 01:00:00+00:00,0,0,109.0,122.5,,9.865424430641822,0.0,0.0,0.0,0.0,0.0,47.5,9.0,10.0,24.0,18.5
2025-02-02 00:00:00+00:00,273,24,130.5,144.0,11.375,11.10054347826087,115.0,27.0,29.0,33.0,69.0,55.5,12.0,10.75,22.5,29.75
2025-02-02 01:00:00+00:00,0,0,130.5,126.0,,11.10054347826087,0.0,0.0,0.0,0.0,0.0,55.5,12.0,10.75,22.5,29.75
2025-02-09 00:00:00+00:00,261,27,133.5,121.25,9.666666666666666,10.520833333333332,94.0,22.0,26.0,52.0,67.0,52.25,12.25,13.75,21.25,34.0
2025-02-09 01:00:00+00:00,0,0,133.5,121.25,,10.520833333333332,0.0,0.0,0.0,0.0,0.0,52.25,12.25,13.75,21.25,34.0
2025-02-16 00:00:00+00:00,295,26,139.0,134.75,11.346153846153847,10.506410256410255,128.0,20.0,24.0,51.0,72.0,55.5,10.5,12.5,25.75,34.75
2025-02-16 01:00:00+00:00,0,0,139.0,134.75,,10.506410256410255,0.0,0.0,0.0,0.0,0.0,55.5,10.5,12.5,25.75,34.75
2025-02-23 00:00:00+00:00,298,24,148.25,140.875,12.416666666666666,11.881410256410255,161.0,10.0,11.0,50.0,66.0,72.25,7.5,8.75,25.25,34.5
2025-02-23 01:00:00+00:00,0,0,148.25,140.875,,11.881410256410255,0.0,0.0,0.0,0.0,0.0,72.25,7.5,8.75,25.25,34.5
2025-03-02 00:00:00+00:00,269,20,141.75,140.375,13.45,12.933333333333334,165.0,8.0,16.0,37.0,43.0,81.5,4.5,6.75,21.75,27.25
2025-03-02 01:00:00+00:00,0,0,141.75,140.375,,12.933333333333334,0.0,0.0,0.0,0.0,0.0,81.5,4.5,6.75,21.75,27.25
2025-03-09 00:00:00+00:00,201,20,117.5,132.875,10.05,11.75,95.0,11.0,13.0,41.0,41.0,65.0,4.75,7.25,19.5,21.0
2025-03-09 01:00:00+00:00,0,0,117.5,132.875,,11.75,0.0,0.0,0.0,0.0,0.0,65.0,4.75,7.25,19.5,21.0
2025-03-15 23:00:00+00:00,0,0,50.25,96.0,,10.05,0.0,0.0,0.0,0.0,0.0,23.75,2.75,3.25,10.25,10.25
2025-03-16 00:00:00+00:00,211,23,103.0,122.375,9.173913043478262,9.611956521739131,105.0,13.0,23.0,31.0,39.0,50.0,6.0,9.0,18.0,20.0
2025-03-22 23:00:00+00:00,0,0,52.75,85.125,,9.173913043478262,0.0,0.0,0.0,0.0,0.0,26.25,3.25,5.75,7.75,9.75
2025-03-23 00:00:00+00:00,284,27,123.75,120.625,10.518518518518519,9.84621578099839,149.0,24.0,26.0,41.0,44.0,63.5,9.25,12.25,18.0,20.75
2025-03-29 23:00:00+00:00,0,0,123.75,87.0,,9.84621578099839,0.0,0.0,0.0,0.0,0.0,63.5,9.25,12.25,18.0,20.75
2025-03-30 00:00:00+00:00,278,23,140.5,121.75,12.08695652173913,11.302737520128826,152.0,16.0,15.0,46.0,49.0,75.25,10.0,10.25,21.75,23.25
2025-04-05 23:00:00+00:00,0,0,140.5,96.625,,11.302737520128826,0.0,0.0,0.0,0.0,0.0,75.25,10.0,10.25,21.75,23.25
2025-04-06 00:00:00+00:00,253,23,132.75,128.25,11.0,11.543478260869566,165.0,19.0,22.0,28.0,19.0,79.25,8.75,9.25,18.5,17.0
2025-04-12 23:00:00+00:00,0,0,132.75,128.25,,11.543478260869566,0.0,0.0,0.0,0.0,0.0,79.25,8.75,9.25,18.5,17.0
2025-04-13 00:00:00+00:00,252,23,126.25,133.375,10.956521739130435,10.978260869565219,142.0,23.0,16.0,34.0,37.0,76.75,10.5,9.5,15.5,14.0
2025-04-19 23:00:00+00:00,0,0,126.25,133.375,,10.978260869565219,0.0,0.0,0.0,0.0,0.0,76.75,10.5,9.5,15.5,14.0
2025-04-20 00:00:00+00:00,182,22,108.5,120.625,8.272727272727273,9.614624505928855,95.0,3.0,32.0,24.0,28.0,59.25,6.5,12.0,14.5,16.25
2025-04-26 23:00:00+00:00,0,0,108.5,120.625,,9.614624505928855,0.0,0.0,0.0,0.0,0.0,59.25,6.5,12.0,14.5,16.25
2025-04-27 00:00:00+00:00,125,21,76.75,101.5,5.9523809523809526,7.112554112554113,59.0,5.0,21.0,24.0,16.0,38.5,2.0,13.25,12.0,11.0
2025-05-03 23:00:00+00:00,0,0,76.75,101.5,,7.112554112554113,0.0,0.0,0.0,0.0,0.0,38.5,2.0,13.25,12.0,11.0
2025-05-04 00:00:00+00:00,251,27,94.0,101.25,9.296296296296296,7.624338624338624,131.0,8.0,34.0,32.0,46.0,47.5,3.25,13.75,14.0,15.5
2025-05-10 23:00:00+00:00,0,0,94.0,101.25,,7.624338624338624,0.0,0.0,0.0,0.0,0.0,47.5,3.25,13.75,14.0,15.5
2025-05-11 00:00:00+00:00,188,24,109.75,93.25,7.833333333333333,8.564814814814815,88.0,10.0,24.0,39.0,27.0,54.75,4.5,14.5,17.75,18.25
2025-05-17 23:00:00+00:00,0,0,109.75,93.25,,8.564814814814815,0.0,0.0,0.0,0.0,0.0,54.75,4.5,14.5,17.75,18.25
2025-05-18 00:00:00+00:00,233,26,105.25,99.625,8.961538461538462,8.397435897435898,131.0,10.0,22.0,31.0,39.0,54.75,5.0,11.5,17.5,16.5
2025-05-24 23:00:00+00:00,0,0,105.25,99.625,,8.397435897435898,0.0,0.0,0.0,0.0,0.0,54.75,5.0,11.5,17.5,16.5
2025-05-25 00:00:00+00:00,194,17,106.75,108.25,11.411764705882353,10.186651583710407,87.0,3.0,42.0,30.0,32.0,54.5,3.25,16.0,15.25,17.75
2025-05-31 23:00:00+00:00,0,0,106.75,108.25,,10.186651583710407,0.0,0.0,0.0,0.0,0.0,54.5,3.25,16.0,15.25,17.75
2025-06-01 00:00:00+00:00,211,26,101.25,103.25,8.115384615384615,9.763574660633484,123.0,12.0,25.0,26.0,25.0,52.5,3.75,16.75,14.0,14.25
2025-06-07 23:00:00+00:00,0,0,101.25,103.25,,9.763574660633484,0.0,0.0,0.0,0.0,0.0,52.5,3.75,16.75,14.0,14.25
2025-06-08 00:00:00+00:00,227,28,109.5,108.125,8.107142857142858,8.111263736263735,102.0,9.0,17.0,40.0,59.0,56.25,5.25,10.5,16.5,21.0
2025-06-14 23:00:00+00:00,0,0,109.5,108.125,,8.111263736263735,0.0,0.0,0.0,0.0,0.0,56.25,5.25,10.5,16.5,21.0
